step= 139,264 | ep=   544 | lvl=hard   | ph=B cbs=0.90 | rew=-1.338 | goals=13.4 | coll=121.0 | pol=-0.0045 | val=0.0452 | ent=1.263 | 156 sps
step= 141,312 | ep=   552 | lvl=hard   | ph=B cbs=0.90 | rew=-1.437 | goals=14.2 | coll=129.0 | pol=-0.0035 | val=0.0787 | ent=1.261 | 155 sps
step= 143,360 | ep=   560 | lvl=hard   | ph=B cbs=0.89 | rew=-1.633 | goals=14.5 | coll=135.5 | pol=-0.0060 | val=0.0625 | ent=1.250 | 154 sps
step= 145,408 | ep=   568 | lvl=hard   | ph=B cbs=0.89 | rew=-1.506 | goals=15.0 | coll=137.8 | pol=-0.0036 | val=0.1126 | ent=1.096 | 153 sps
step= 147,456 | ep=   576 | lvl=hard   | ph=B cbs=0.88 | rew=-1.514 | goals=15.9 | coll=138.7 | pol=-0.0067 | val=0.0144 | ent=1.082 | 152 sps
step= 149,504 | ep=   584 | lvl=hard   | ph=B cbs=0.88 | rew=-1.410 | goals=16.8 | coll=135.3 | pol=-0.0054 | val=0.0373 | ent=1.189 | 151 sps
step= 151,552 | ep=   592 | lvl=hard   | ph=B cbs=0.87 | rew=-1.333 | goals=17.5 | coll=131.9 | pol=-0.0049 | val=0.0557 | ent=1.094 | 150 sps
step= 153,600 | ep=   600 | lvl=hard   | ph=B cbs=0.87 | rew=-1.289 | goals=18.2 | coll=129.4 | pol=-0.0042 | val=0.0507 | ent=1.047 | 149 sps
step= 155,648 | ep=   608 | lvl=hard   | ph=B cbs=0.86 | rew=-1.227 | goals=18.6 | coll=126.2 | pol=-0.0047 | val=0.0275 | ent=1.067 | 149 sps
step= 157,696 | ep=   616 | lvl=hard   | ph=B cbs=0.86 | rew=-1.223 | goals=18.9 | coll=123.3 | pol=-0.0055 | val=0.0164 | ent=1.106 | 148 sps
step= 159,744 | ep=   624 | lvl=hard   | ph=B cbs=0.85 | rew=-1.356 | goals=18.6 | coll=119.1 | pol=-0.0062 | val=0.0259 | ent=1.089 | 147 sps
step= 161,792 | ep=   632 | lvl=hard   | ph=B cbs=0.85 | rew=-1.475 | goals=18.6 | coll=117.5 | pol=-0.0045 | val=0.1524 | ent=1.037 | 146 sps
step= 163,840 | ep=   640 | lvl=hard   | ph=B cbs=0.84 | rew=-1.447 | goals=18.4 | coll=100.1 | pol=-0.0065 | val=0.0300 | ent=1.092 | 146 sps
step= 165,888 | ep=   648 | lvl=expert | ph=B cbs=0.84 | rew=-1.510 | goals=18.5 | coll=120.1 | pol=-0.0018 | val=0.0384 | ent=1.219 | 145 sps
step= 167,936 | ep=   656 | lvl=expert | ph=B cbs=0.83 | rew=-1.480 | goals=18.6 | coll=133.6 | pol=-0.0029 | val=0.0175 | ent=1.111 | 144 sps
step= 169,984 | ep=   664 | lvl=expert | ph=B cbs=0.83 | rew=-1.538 | goals=18.5 | coll=147.8 | pol=-0.0044 | val=0.0172 | ent=1.046 | 143 sps
step= 172,032 | ep=   672 | lvl=expert | ph=B cbs=0.82 | rew=-1.714 | goals=18.3 | coll=164.9 | pol=-0.0035 | val=0.0150 | ent=1.043 | 142 sps
step= 174,080 | ep=   680 | lvl=expert | ph=B cbs=0.81 | rew=-1.976 | goals=17.3 | coll=183.4 | pol=-0.0027 | val=0.0225 | ent=0.957 | 141 sps
step= 176,128 | ep=   688 | lvl=expert | ph=B cbs=0.81 | rew=-1.965 | goals=17.6 | coll=198.6 | pol=-0.0030 | val=0.0227 | ent=1.091 | 140 sps
step= 178,176 | ep=   696 | lvl=expert | ph=B cbs=0.80 | rew=-2.103 | goals=17.4 | coll=215.3 | pol=-0.0042 | val=0.0214 | ent=1.089 | 139 sps
step= 180,224 | ep=   704 | lvl=expert | ph=B cbs=0.80 | rew=-2.247 | goals=17.0 | coll=229.2 | pol=-0.0009 | val=0.0360 | ent=1.063 | 138 sps
step= 182,272 | ep=   712 | lvl=expert | ph=B cbs=0.79 | rew=-2.420 | goals=16.6 | coll=245.3 | pol=-0.0047 | val=0.0086 | ent=1.071 | 138 sps
step= 184,320 | ep=   720 | lvl=expert | ph=B cbs=0.79 | rew=-2.520 | goals=16.6 | coll=261.2 | pol=-0.0036 | val=0.0110 | ent=1.010 | 137 sps
step= 186,368 | ep=   728 | lvl=expert | ph=B cbs=0.78 | rew=-2.651 | goals=15.9 | coll=273.3 | pol=-0.0016 | val=0.0204 | ent=1.063 | 136 sps
step= 188,416 | ep=   736 | lvl=expert | ph=B cbs=0.78 | rew=-2.684 | goals=15.9 | coll=280.1 | pol=-0.0029 | val=0.0071 | ent=1.034 | 135 sps
step= 190,464 | ep=   744 | lvl=expert | ph=B cbs=0.77 | rew=-2.802 | goals=15.2 | coll=286.2 | pol=-0.0033 | val=0.0093 | ent=1.022 | 135 sps
step= 192,512 | ep=   752 | lvl=expert | ph=B cbs=0.77 | rew=-2.663 | goals=15.4 | coll=274.5 | pol=-0.0023 | val=0.0187 | ent=1.030 | 134 sps
step= 194,560 | ep=   760 | lvl=expert | ph=B cbs=0.76 | rew=-2.638 | goals=15.3 | coll=269.2 | pol=-0.0045 | val=0.0212 | ent=0.973 | 133 sps
step= 196,608 | ep=   768 | lvl=expert | ph=B cbs=0.76 | rew=-2.542 | goals=15.9 | coll=263.9 | pol=-0.0007 | val=0.0261 | ent=1.104 | 132 sps
step= 198,656 | ep=   776 | lvl=expert | ph=B cbs=0.75 | rew=-2.512 | goals=16.0 | coll=262.0 | pol=-0.0029 | val=0.0194 | ent=1.042 | 132 sps
step= 200,704 | ep=   784 | lvl=expert | ph=B cbs=0.75 | rew=-2.442 | goals=16.3 | coll=253.2 | pol=-0.0027 | val=0.0114 | ent=1.015 | 131 sps
step= 202,752 | ep=   792 | lvl=expert | ph=B cbs=0.74 | rew=-2.456 | goals=15.7 | coll=250.5 | pol=-0.0028 | val=0.0216 | ent=0.922 | 131 sps
step= 204,800 | ep=   800 | lvl=expert | ph=B cbs=0.74 | rew=-2.387 | goals=16.1 | coll=245.8 | pol=-0.0024 | val=0.0138 | ent=1.042 | 130 sps
step= 206,848 | ep=   808 | lvl=expert | ph=B cbs=0.73 | rew=-2.238 | goals=16.8 | coll=237.2 | pol=-0.0042 | val=0.0120 | ent=1.028 | 129 sps
step= 208,896 | ep=   816 | lvl=expert | ph=B cbs=0.73 | rew=-2.152 | goals=17.3 | coll=236.7 | pol=-0.0031 | val=0.0167 | ent=0.985 | 129 sps
step= 210,944 | ep=   824 | lvl=expert | ph=B cbs=0.72 | rew=-2.130 | goals=17.7 | coll=241.2 | pol=-0.0021 | val=0.0143 | ent=1.019 | 128 sps
step= 212,992 | ep=   832 | lvl=expert | ph=B cbs=0.72 | rew=-2.188 | goals=17.3 | coll=244.2 | pol=-0.0033 | val=0.0149 | ent=0.970 | 128 sps
step= 215,040 | ep=   840 | lvl=expert | ph=B cbs=0.71 | rew=-2.142 | goals=17.6 | coll=244.4 | pol=-0.0034 | val=0.0117 | ent=0.979 | 127 sps
step= 217,088 | ep=   848 | lvl=expert | ph=B cbs=0.71 | rew=-2.126 | goals=17.6 | coll=243.6 | pol=-0.0021 | val=0.0137 | ent=0.902 | 127 sps
step= 219,136 | ep=   856 | lvl=expert | ph=B cbs=0.70 | rew=-2.177 | goals=17.1 | coll=241.1 | pol=-0.0038 | val=0.0049 | ent=1.010 | 127 sps
step= 221,184 | ep=   864 | lvl=expert | ph=B cbs=0.70 | rew=-2.097 | goals=17.6 | coll=237.3 | pol=-0.0022 | val=0.0122 | ent=0.938 | 126 sps
step= 223,232 | ep=   872 | lvl=expert | ph=B cbs=0.69 | rew=-2.103 | goals=17.4 | coll=235.4 | pol=-0.0041 | val=0.0191 | ent=1.002 | 126 sps
step= 225,280 | ep=   880 | lvl=expert | ph=B cbs=0.69 | rew=-2.067 | goals=17.8 | coll=234.8 | pol=-0.0027 | val=0.0321 | ent=0.975 | 125 sps
